날짜,전일비,시가,고가,저가,종가,거래량
2024-10-15,-3100,119100,119800,115100,116100,159632
2024-10-14,+700,117500,120700,117000,119200,208900
2024-10-11,-4500,124100,124700,117700,118500,347427
2024-10-10,+4600,119300,125000,116000,123000,788299
2024-10-08,+100,117200,119400,117000,118400,212206
2024-10-07,+2100,116200,118600,114000,118300,250708
2024-10-04,+100,117800,118700,114900,116200,228653
2024-10-02,-1000,116600,119000,115900,116100,225824
2024-09-30,-1600,120000,120900,117100,117100,251746
2024-09-27,-1900,120700,121200,118200,118700,291803
